station_id,station_name,lat,lng,corridor,corridor_type,station_role,is_terminal,is_interchange,station_importance,busy_factor,route_overlap_count,transfer_score,land_use_type,near_market,near_business_district,timestamp_utc,hour,day_of_week,is_weekend,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,traffic_confidence,traffic_pressure,temperature_2m,precipitation,rain,cloud_cover,crowd_score,label
sport_centre,Sport Centre,6.517343999999999,3.387760999999999,General,local,standard,0,0,3,0.5,1,2,education,0,0,2026-03-26T00:24:39.863982+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
temple,Temple,6.540592,3.392753,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:42.324908+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
fadeyi,Fadeyi,6.523944999999999,3.367264,General,secondary,interchange,0,1,3,0.54,3,5,mixed,0,0,2026-03-26T00:24:45.451213+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.20680000000000004,flowing
somolu_oja_market,Somolu Oja (Market),6.533655999999999,3.376522,General,local,standard,0,0,3,0.5,1,2,market,1,0,2026-03-26T00:24:48.053556+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.098,flowing
anthony,Anthony,6.5583349,3.3669222,General,local,interchange,0,1,3,0.5,3,5,mixed,0,0,2026-03-26T00:24:51.305894+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.198,flowing
adekunle_bus_stop,Adekunle Bus Stop,6.492854899999999,3.3785775,General,local,standard,0,0,3,0.46,1,2,mixed,0,0,2026-03-26T00:24:53.800623+00:00,1,3,0,49.0,49.0,1263.0,1263.0,0.561305,0.0,28.5,0.0,0.0,100.0,0.029200000000000004,flowing
spencer,Spencer,6.502256,3.377359,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:24:56.375298+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
st_agnes,St Agnes,6.511242,3.377295,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:24:59.009976+00:00,1,3,0,42.0,42.0,1276.0,1276.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
empire,Empire,6.518226899999999,3.365297,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:02.641501+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
obanikoro_2,Obanikoro,6.546634300000001,3.3669012,General,secondary,interchange,0,1,3,0.57,3,5,mixed,0,0,2026-03-26T00:25:05.416441+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21339999999999998,flowing
iwaya_garage,Iwaya Garage,6.505861000000001,3.391235,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:08.059919+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
empire_2,Empire,6.51826,3.36554,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:10.695172+00:00,1,3,0,42.0,42.0,1276.0,1276.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
barracks,Barracks,6.505219,3.363804,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:13.377763+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
ap_club,Ap Club,6.499018,3.376046999999999,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:15.857502+00:00,1,3,0,49.0,49.0,1263.0,1263.0,0.561305,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
church_2,Church,6.505691,3.38756,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:25:18.427080+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
cappa,Cappa,6.547649499999999,3.3549165,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:22.034648+00:00,1,3,0,44.0,44.0,788.0,788.0,1.0,0.0,28.4,0.0,0.0,100.0,0.038000000000000006,flowing
fadeyi_2,Fadeyi,6.524166,3.367736,General,secondary,interchange,0,1,3,0.54,3,5,mixed,0,0,2026-03-26T00:25:24.631507+00:00,1,3,0,55.0,55.0,663.0,663.0,1.0,0.0,28.4,0.0,0.0,100.0,0.20680000000000004,flowing
atunrase,Atunrase,6.51378,3.35761,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:27.236016+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
g_u_o_transport_maza_maza_terminal,G.U.O. Transport - Maza-Maza Terminal,6.459200099999999,3.3019669,General,local,terminal,1,0,4,0.68,3,5,mixed,0,0,2026-03-26T00:25:29.934272+00:00,1,3,0,49.0,49.0,1157.0,1157.0,1.0,0.0,28.5,0.0,0.0,100.0,0.25760000000000005,flowing
onipanu_3,Onipanu,6.533651099999999,3.3672085,General,secondary,interchange,0,1,3,0.56,3,5,mixed,0,0,2026-03-26T00:25:33.674047+00:00,1,3,0,52.0,52.0,1177.0,1177.0,1.0,0.0,28.4,0.0,0.0,100.0,0.21120000000000005,flowing
adesina,Adesina,6.53441,3.384873,General,local,standard,0,0,3,0.5,1,2,mixed,0,0,2026-03-26T00:25:36.589482+00:00,1,3,0,71.0,71.0,325.0,325.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
bariga,Bariga,6.537239999999999,3.392039999999999,General,local,standard,0,0,3,0.5,1,2,residential,0,0,2026-03-26T00:25:39.253700+00:00,1,3,0,76.0,76.0,918.0,918.0,1.0,0.0,28.5,0.0,0.0,100.0,0.038000000000000006,flowing
